Text,Labels
Avnige ella language matadoke barutta,Not_offensive
ರಕ್ಷಿತ್  ನಿಮ್ಮ  ಕೈಯಲ್ಲಿ  ಕನ್ನಡ   nಸುರಕ್ಷಿತ,Not_offensive
God blees you sir hanumantana krupe nima melirali,Not_offensive
Super  song,Not_offensive
Yes yes yes🤟,not-Kannada
ಶಂಕರ ಅಶ್ವತ್  ಕಷ್ಟಪಟ್ಟು ಜೀವನ ನಡೆಸುತ್ತಿರುವ ಉತ್ತಮ ಗುಣಮಟ್ಟದ ವಕ್ತಿ,Not_offensive
Dislike madidorella bevarsi TikTokers..thika urkondavre Burnol kodrooo🤣🤣🤣🤣🤣🤣,Offensive_Targeted_Insult_Group
Yava game bro edu,Not_offensive
Hand's up,Not_offensive
Karavali king Rakshith Shetty fans frm Uttara kannada,Not_offensive
All The Best For D Boyzzzzzz,not-Kannada
Namboke sadyane illa,Offensive_Untargetede
ತೊಗರಿ ತಿಪ್ಪ ಸೂಪರ್ ಸ್ಟಾರ್,Not_offensive
Kolthogiro kobri mitai mukadavle na..?nYappa devre neenu ugidu uppakodralli no,Not_offensive
100 alla 200 million agutte,Not_offensive
Super Rakshith shetty sir,Not_offensive
All the best prajwal Devaraj Bøss,Not_offensive
What a tiktok song super,not-Kannada
@vinoddevadiga Jogimane neev irodh elli?,Not_offensive
@Nandi Parthasarathi ಬಂದ್ರೆ ತಿಕಾ ದೆಂಗ್ತಿನಿ ಎಷ್ಟೇ ನಿನ್ ರೇಟು ಹಡ್ಬಿ ಸೂಳೆ.... ಆ ಲುಚ್ಛನ್ ಫ್ಯಾನ್ ಅಂತೇ... ಅವುಂದು ತುಣ್ಣಿ ಉಣ್ಣು ಹೋಗಿ ಲೋಫರ್ ಸೂಳೆ,Offensive_Targeted_Insult_Individual
@Sujan Tejas bdj try j,not-Kannada
ಸೂಳೆಮಗನೇ yengo ediya ಎಲ್ಲಾ ಕಡೆ daagar ankondu promotion madtira gaandu sulemakla daagar kano avnu Darshan alla 🤦‍,Offensive_Targeted_Insult_Group
Super jai d boSs,not-Kannada
Bisilu nadalli hola uluvavane nijavada raita,Not_offensive
@Prasad Hegde  ಆಂಧ್ರವಲ ಗಳು eddare .  ಅಂದ್ರ ನಾಯಿಗಳು ತೆಲುಗು.ಕನ್ನಡ ಪ್ರೇಮಿಗಳು ಕನ್ನಡ ಸಿನಿಮಾ ನೋಡಿತರೆ.  ದರ್ಶನ್. ಸುದೀಪ್. ಪುನೀತ್. ಯಶ್. ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ .ದ್ರುವ ಸರ್ಜಾ. ಶಿವಣ್ಣ. Heavy fan fellowing. ಇದೆ.  But ಇನ್ನೊಂದು ತೆಲುಗು ಸಿನಿಮಾ ನೋಡೋದು ಚಿಕ್ಕಬಳ್ಳಾಪುರ   ಜಾಸ್ತಿ .,Offensive_Targeted_Insult_Individual
Kannada badhiki bandhantaitu,Offensive_Untargetede
ನಿಜ ಇದ್ರು ಇರಬಹುದು ಸರ್,Not_offensive
Rakshith is copy paste star full remake madalla alli alli copy madatane,Offensive_Targeted_Insult_Individual
2020  new year special viewers like here,Offensive_Untargetede
ಬೇಡ ನೀವು ಒಳ್ಳೆಯ ಮನುಷ್ಯ,Not_offensive
Best wishes from huccha venkat sene-zimbaabwe,not-Kannada
Jai Jawan Jai hind,not-Kannada
ಬಿಂದು ಗೌಡ ಟಿಕ್ ಟಾಕ್  ಬ್ಯಾನ್ ಆಯಿತು ಮನೇಲಿ ಪಾತ್ರೆ ತೊಳಿ,Offensive_Targeted_Insult_Individual
@chetan kumarab guru ve.... aha comment maddhavn hesru nodo....nanalla kano,Offensive_Targeted_Insult_Individual
Thumba vishaya galannu thilisi kotri Amar prasad ravare .thank you,Not_offensive
Rakshit Macha time togondrunu sakath agi bandide,Not_offensive
Ashwathvru badukiddaga saryagi nodkollalillva ivnu,not-Kannada
@vyv v hu kanappa gottu. Yash boss bitre yella avare copy paste gale remake stars,Not_offensive
Ellanu KGF ge yaak compare maadtiyaa guru,Offensive_Targeted_Insult_Individual
niv helid nija star antha bere akotidru karma,Not_offensive
@naveen v nin Amman thullu sulemagne,Offensive_Targeted_Insult_Individual
Guru nin super guru osm voice guru nindu,Not_offensive
Looks very different,not-Kannada
Idu charitre baryuva..Narayana..,Not_offensive
Jai ASN @Paramvah Music,Not_offensive
Bharatha no 1 desha namma deshakke yaudu sari sati ella,Offensive_Untargetede
